desa,kecamatan,Latitude,Longitude,rr,skor_hujan,elevasi_m,slope_deg,skor_risiko,kelas,tempat_evakuasi_tujuan,jarak_ke_shelter_km,manajemen_tindakan
Desa Sampang,Sampang,-7.566318,109.201228,12.059387584552534,1.5560500109100044,17.0,3.219354051936385,76.6,Kritis,Balai Desa Sampang,0.1,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Nusajati,Sampang,-7.596982,109.200002,12.336351544789151,1.591787296101826,11.0,2.111313834910147,77.1,Kritis,Balai Desa Nusajati,0.1,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Karangjati,Sampang,-7.57744,109.241826,11.683898839455685,1.5075998502523462,10.0,2.031825961134792,73.8,Tinggi,Balai Desa Buntu,1.6,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Paberasan,Sampang,-7.588874,109.231656,11.893381438458052,1.5346298630268451,12.0,2.1385574257019693,74.7,Kritis,Balai Desa Paberasan,0.11,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Karangasem,Sampang,-7.472167,109.475513,8.046138739769802,1.0382114502928776,4.6795157228674,0.6971286641858212,46.2,Tinggi,Balai Desa Kedawung,7.46,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Sikampuh,Kroya,-7.623398,109.197936,12.555621880197537,1.6200802426061338,9.0,1.3310479977906264,81.6,Kritis,Balai Desa Sikampuh,0.11,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Gentasari,Kroya,-7.601644,109.219899,12.130832138764564,1.5652686630663954,10.0,1.344000859961428,76.7,Kritis,Balai Desa Gentasari,0.03,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Kedawung,Kroya,-7.617419,109.287715,11.352163958280483,1.4647953494555463,9.0,2.0709745757692923,72.8,Tinggi,Balai Desa Banjarwaru,2.42,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Mujur,Kroya,-7.612107,109.253601,11.772086895407558,1.5189789542461365,8.0,1.5000983735068574,74.6,Kritis,Balai Desa Mujur,0.14,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Buntu,Kroya,-7.589645,109.252029,11.647710898306237,1.5029304384911273,8.0,1.7719989676305836,73.7,Tinggi,Balai Desa Buntu,0.17,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Mujur Lor,Kroya,-7.599874,109.248844,11.756745738071489,1.5169994500737405,9.0,2.4505930634965303,73.9,Tinggi,Balai Desa Mujur Lor,0.1,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Banjareja,Nusawungu,-7.686408,109.374383,10.362210561761236,1.3370594273240304,11.608738524671043,1.84205774376895,64.9,Tinggi,Balai Desa Banjareja,0.1,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Kedungbenda,Nusawungu,-7.66758,109.375326,10.3172307019845,1.3312555744496128,4.143839587046705,1.171796842695486,65.0,Tinggi,Balai Desa Kedungbenda,0.09,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Klumprit,Nusawungu,-7.661907,109.35874,10.537971004236695,1.3597381940950577,9.273292915101417,2.270566743772438,67.6,Tinggi,Balai Desa Klumprit,0.02,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Purwodadi,Nusawungu,-7.676727,109.348618,10.711644331740676,1.3821476557084744,6.0,1.1403174316882714,68.0,Tinggi,Balai Desa Purwadadi,0.61,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Karangsembung,Nusawungu,-7.679916,109.363203,10.511017349269974,1.3562603031316094,12.302098809471753,1.6840237308969204,65.7,Tinggi,Balai Desa Karangsembung,0.87,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Nusawengkal,Nusawungu,-7.669805,109.34463,10.754156987073452,1.387633159622381,11.0,1.825652034079275,66.2,Tinggi,Balai Desa Nusawangkal,0.15,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Nusawungu,Nusawungu,-7.648797,109.345277,10.690924523183815,1.379474132023718,10.0,1.525709802155606,67.6,Tinggi,Balai Desa Nusawungu,0.14,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Karangbenda,Adipala,-7.672613,109.176723,13.102698581563986,1.6906707847179336,5.0,2.001576713279602,82.9,Kritis,Balai Desa Karangbenda,0.08,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Wlahar,Adipala,-7.667687,109.13421,13.64935681758742,1.7612073313016028,9.0,2.311368531390184,87.3,Kritis,Balai Desa Wlahar,0.04,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Penggalang,Adipala,-7.653371,109.138309,13.507186962561658,1.7428628338789236,9.0,2.066765259114593,85.8,Kritis,Balai Desa Penggalang,0.14,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Adipala,Adipala,-7.659838,109.156697,13.310704702292316,1.7175102841667504,14.0,3.0000448262628048,83.0,Kritis,Balai Desa Adipala,0.14,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Adireja Kulon,Adipala,-7.660938,109.16014,13.271398441192185,1.7124385085409268,13.0,2.7851409076587603,82.8,Kritis,Balai Desa Adireja Kulon,0.1,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Adireja Wetan,Adipala,-7.660906,109.165317,13.202714088767983,1.7035760114539331,12.0,1.80119808244045,82.9,Kritis,Balai Desa Adireja Wetan,0.33,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Adiraja,Adipala,-7.661459,109.164716,13.213563390659868,1.7049759213754667,12.0,2.7895825978859685,82.8,Kritis,Balai Desa Adireja Wetan,0.32,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Karang Sari,Adipala,-7.637371,109.143197,13.330652448274202,1.7200841868740906,16.0,2.775079138681911,83.1,Kritis,Balai Desa Karangsari,0.99,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
